website,query_method,query_time(ms)
google.com,my_dig,16.68
google.com,my_dig,16.59
google.com,my_dig,17.01
google.com,my_dig,16.48
google.com,my_dig,16.84
google.com,my_dig,16.53
google.com,my_dig,15.90
google.com,my_dig,15.51
google.com,my_dig,16.17
google.com,my_dig,16.24
google.com,local_dns,3
google.com,local_dns,0
google.com,local_dns,0
google.com,local_dns,0
google.com,local_dns,0
google.com,local_dns,0
google.com,local_dns,0
google.com,local_dns,0
google.com,local_dns,0
google.com,local_dns,0
google.com,public_dns,7
google.com,public_dns,15
google.com,public_dns,7
google.com,public_dns,11
google.com,public_dns,7
google.com,public_dns,15
google.com,public_dns,11
google.com,public_dns,11
google.com,public_dns,11
google.com,public_dns,7
youtube.com,my_dig,16.21
youtube.com,my_dig,15.09
youtube.com,my_dig,15.43
youtube.com,my_dig,16.47
youtube.com,my_dig,15.75
youtube.com,my_dig,16.80
youtube.com,my_dig,15.60
youtube.com,my_dig,15.38
youtube.com,my_dig,16.56
youtube.com,my_dig,15.07
youtube.com,local_dns,10
youtube.com,local_dns,0
youtube.com,local_dns,0
youtube.com,local_dns,0
youtube.com,local_dns,0
youtube.com,local_dns,3
youtube.com,local_dns,0
youtube.com,local_dns,0
youtube.com,local_dns,0
youtube.com,local_dns,0
youtube.com,public_dns,11
youtube.com,public_dns,11
youtube.com,public_dns,3
youtube.com,public_dns,7
youtube.com,public_dns,7
youtube.com,public_dns,11
youtube.com,public_dns,7
youtube.com,public_dns,15
youtube.com,public_dns,11
youtube.com,public_dns,15
